,textname,word,tfidf_score
303,1990_Bush,every one u,0.21458488676521237
304,1959_Eisenhower,price stability,0.21441793096398187
305,1904_Roosevelt,wage worker,0.2142964078964206
306,1995_Clinton,middle class,0.21426769166736565
307,2001_Bush,health care,0.21408576350947672
308,1984_Reagan,help u,0.21384406771682396
309,1986_Reagan,family community,0.2138320767515056
310,1817_Monroe,lake erie,0.21378016628607815
311,1837_Buren,new state,0.2135353375143347
312,1802_Jefferson,one american,0.21351088365701382
313,1909_Taft,postal saving,0.213311735160305
314,1862_Lincoln,square mile,0.21322899316296648
315,1982_Reagan,state local,0.2129148537046353
316,1989_Bush,child care,0.2129021261745427
317,1934_Roosevelt,one nation,0.21277645800687042
318,2002_Bush,weapon mass destruction,0.21261622305664302
319,2002_Bush,weapon mass,0.21261622305664302
320,1932_Hoover,social economic,0.21244772797314435
321,1792_Washington,service ensuing year,0.2123806842748022
322,1985_Reagan,let u,0.21212051402337684
323,1903_Roosevelt,across isthmus,0.21132924154126134
324,2013_Obama,country like,0.21117388831110953
325,1983_Reagan,arm reduction,0.21101148511905568
326,2014_Obama,business leader,0.21076410942883178
327,1855_Pierce,municipal law,0.20998645215880893
328,1896_Cleveland,per cent,0.20979346162441925
329,1863_Lincoln,naval service,0.2096816279045334
330,1955_Eisenhower,free nation,0.2093873700106497
331,1992_Bush,health insurance,0.20902334792933558
332,1846_Polk,people texas,0.20895016637511424
333,1800_Adams,gentleman senate,0.20871356351901327
334,1821_Monroe,revenue law,0.20864412218032616
335,1857_Buchanan,circulation deposit,0.2085871756108757
336,1929_Hoover,per cent,0.20856061509669238
337,1982_Reagan,federal grant,0.20841336132449353
338,1894_Cleveland,fiscal year,0.20836878336950942
339,1833_Jackson,discriminating duty,0.20826646872628118
340,1834_Jackson,french government,0.20818098477784375
341,2002_Bush,mass destruction,0.20803227246294947
342,1837_Buren,public money,0.20754278563983194
343,1866_Johnson,senator representative,0.20748263851673462
344,1859_Buchanan,african slave,0.20745192590573414
345,2006_Bush,math science,0.20727349737278356
346,1992_Bush,right thing,0.20693105772523576
347,1903_Roosevelt,new granada,0.2068422772408602
348,1951_Truman,soviet union,0.2067887316483379
349,1949_Truman,social security,0.20672212198658704
350,1839_Buren,banking institution,0.20669413782318602
351,1945_Roosevelt,united nation,0.20659183505670717
352,1846_Polk,war mexico,0.20642616840092223
353,1896_Cleveland,second class,0.20625321334543076
354,1964_Johnson,side side,0.2059992794865364
355,1911_Taft,tobacco company,0.20595556298021617
356,1824_Monroe,late war,0.20513942548521125
357,2015_Obama,still need,0.20510354592155158
358,1901_Roosevelt,forest reserve,0.2049251325602602
359,1970_Nixon,quality life,0.2048802769103678
360,1951_Truman,united nation,0.20486770985709132
361,1905_Roosevelt,monroe doctrine,0.2044734014524018
362,2011_Obama,clean energy,0.20426797474158048
363,1791_Washington,weight measure,0.2042510381258115
364,1919_Wilson,american business,0.20408307117378333
365,1916_Wilson,body men,0.20404845722120402
366,1962_Kennedy,united nation,0.20403840028666045
367,1894_Cleveland,circulating note,0.2039936998376413
368,1818_Monroe,buenos ayres,0.2038280705336099
369,1935_Roosevelt,people work,0.20380821538183821
370,1792_Washington,service ensuing,0.20358965750913652
371,1792_Washington,law purpose,0.20358965750913652
372,1792_Washington,annual interest,0.20358965750913652
373,1796_Washington,west indie,0.203586889264391
374,1819_Monroe,minister spain,0.20352570690829921
375,1879_Hayes,civil service,0.2034449672378483
376,1797_Adams,british subject,0.2032155968165318
377,2004_Bush,prescription drug,0.20314933720806144
378,1911_Taft,per cent,0.20281808833922801
379,1982_Reagan,government spending,0.20277588912194444
380,1878_Hayes,fiscal year,0.20255196586596153
381,1952_Truman,united nation,0.20244713968016229
382,1881_Arthur,five twenty,0.20224478389857203
383,1945_Roosevelt,national service,0.20214062861347637
384,1810_Madison,bearing date,0.2020857132891838
385,1983_Reagan,year ahead,0.2020626483104906
386,1851_Fillmore,fiscal year,0.20201856947095753
387,1957_Eisenhower,civil right,0.20163004552829972
388,1901_Roosevelt,president mckinley,0.2014815672407397
389,1918_Wilson,acre land,0.2014687289897798
390,1924_Coolidge,reduction tax,0.2014209167225723
391,1892_Harrison,fiscal year,0.20121749931630367
392,2016_Obama,seven year,0.20113561316591025
393,1859_Buchanan,year ending,0.2010030945497607
394,1910_Taft,prize court,0.20095274936723898
395,1799_Adams,gentleman senate,0.20079630569320844
396,1805_Jefferson,nearly million,0.2004891961364132
397,1935_Roosevelt,private capital,0.20043335982996105
398,1942_Roosevelt,u mean,0.20037284879545636
399,1928_Coolidge,per cent,0.20037076766400805
400,1908_Roosevelt,saving bank,0.2003474835619171
401,1890_Harrison,tariff act,0.20028539937951392
402,1958_Eisenhower,defense effort,0.20027160952187062
403,1974_Nixon,energy need,0.20005276581355377
404,1927_Coolidge,federal government,0.19985956671986677
405,1981_Carter,human right,0.19978307236851767
406,1855_Pierce,right state,0.19971846051544825
407,2005_Bush,make sure,0.19941374199865938
408,1940_Roosevelt,national unity,0.19927513923982113
409,1912_Taft,foreign service,0.19898726384173243
410,2013_Obama,make sure,0.19830187457038403
411,1895_Cleveland,treasury note,0.19806181349184027
412,2010_Obama,cut tax,0.1979897972503477
413,1950_Truman,united nation,0.1979197537264699
414,1857_Buchanan,domestic institution,0.1978977210541577
415,1807_Jefferson,funded debt,0.19772525736355037
416,1969_Johnson,throughout land,0.19767122568639556
417,2018_Trump,u tonight,0.19756310084093864
418,1847_Polk,new mexico,0.19731318387462235
419,1893_Cleveland,increase preceding,0.1972814655077745
420,1893_Cleveland,increase preceding year,0.1972814655077745
421,1987_Reagan,soviet union,0.19692640744226433
